song,mins_30_45,mins_45_60,mins_60_plus
Delicate,0,0,5
Everything Has Changed,5,0,6
One Call Away,5,5,5
Sparks Fly,7,7,7
As Long As You Love Me,6,0,0
Enchanted,8,7,8
Love Story,5,0,0
Into You,5,0,5
Come Back...Be Here,5,0,0
Treacherous,6,5,0
If This Was A Movie,0,5,0
Nuvole Bianche,8,7,9
I Almost Do,5,5,6
Breathe,6,0,5
Jump Then Fall,0,0,5
Waltz of the Flowers,0,5,0
Liebesleid,5,0,5
Oltremare,5,0,0
All Too Well,5,0,5
Csikós Post,0,0,5
Begin Again,5,5,7
Bever,5,0,0
The Other Side Of The Door,5,0,6
You Are The Reason,5,0,0
Mặt Trời Của Em,0,0,5
My Love,5,0,0
Kiss the Rain,0,0,5
Speechless,5,0,0
Blue Jeans,5,0,0
Nơi Này Có Anh,7,5,6
Thằng Điên,6,0,0
Âm Thầm Bên Em,5,0,5
2AM,0,5,0
Suýt Nữa Thì...,5,6,7
Em Gái Mưa,5,5,5
Chắc Ai Đó Sẽ Về,5,5,0
